Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,1258212,34,48,2159.0,58654.0,376.0,0.0,63.5,128.28478026829546,1448.0,0.0,1221.958333333333,486.24575514564964,48332.87236173236,65.17184703372722,15533.481481481484,103019.72506189179,915529.0,3.0,1258212.0,38127.63636363637,160265.57934971922,915529.0,3.0,1079094.0,22959.44680851064,139809.98166421519,960365.0,3.0,0,0,0,0,1104,1552,27.022473160325927,38.149373873401295,0.0,1448.0,732.6867469879518,688.8350350801874,474493.705553923,1,4,0,13,80,0,0,0,1.0,741.6219512195122,63.5,1221.9583333333333,0,0,0,60813,51,49746,0,26,0,715,29200,252,7,32,0.0,0.0,0.0,0.0,1556540795813648.0,0.0,1556540795813648.0,1556540795813648.0,0
6,4,2,0,247.0,0.0,247.0,0.0,123.5,174.65537495307723,0.0,0.0,0.0,0.0,61750000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,500000.0,0.0,0.0,247.0,164.66666666666669,142.60551648983758,20336.33333333333,1,0,0,1,2,0,0,0,0.0,247.0,123.5,0.0,0,0,0,0,0,0,1,123,0,0,708,0,0,32,0.0,0.0,0.0,0.0,1556540797074879.0,0.0,1556540797074879.0,1556540797074879.0,0
6,2007857,116,116,6422.0,147960.0,440.0,0.0,55.36206896551725,134.79997397443458,1448.0,0.0,1275.5172413793102,409.75764804934687,76888.94179216947,115.54607723558004,8692.021645021645,60542.92093335943,850590.0,2.0,2007857.0,17459.626086956534,85190.32790566514,850590.0,3.0,1905632.0,16570.71304347826,91842.58911538226,914293.0,3.0,0,0,0,0,3728,3728,57.77303861779002,57.77303861779002,0.0,1448.0,662.583690987124,682.8830635811472,466329.2785259732,1,4,0,35,230,0,0,0,1.0,665.4396551724138,55.36206896551725,1275.5172413793102,0,0,0,154382,129,78239,0,27,0,637,29200,294,17,32,0.0,0.0,0.0,0.0,1556540795813668.0,0.0,1556540795813668.0,1556540795813668.0,0
6,138,2,0,386.0,0.0,386.0,0.0,193.0,272.94321753800733,0.0,0.0,0.0,0.0,2797101.4492753623,14492.753623188406,138.0,0.0,138.0,138.0,138.0,138.0,0.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,14492.753623188406,0.0,0.0,386.0,257.33333333333337,222.85720390719555,49665.33333333333,1,0,0,1,2,0,0,0,0.0,386.0,193.0,0.0,0,0,0,0,0,0,1,193,0,0,1444,0,0,32,0.0,0.0,0.0,0.0,1556540797822259.0,0.0,1556540797822259.0,1556540797822259.0,0
6,7035985,16,11,2300.0,1638.0,388.0,0.0,143.74999999999994,191.68915810064306,275.0,0.0,148.9090909090909,142.57521141169985,559.6942005987788,3.8374157989250963,270614.8076923077,1031243.4013313062,4993733.0,5.0,2042252.0,136150.13333333336,483823.4153603781,1884347.0,1481.0,7032328.0,703232.7999999999,1626541.3712921862,5001390.0,5980.0,0,0,0,0,528,368,2.2740241771407983,1.563391621784299,0.0,388.0,140.64285714285714,169.43636722876983,28708.682539682548,1,4,0,12,25,0,0,0,0.0,145.85185185185185,143.75,148.9090909090909,0,0,0,1969,6,51574,0,85,0,60,29200,252,6,32,0.0,0.0,0.0,0.0,1556540795812507.0,0.0,1556540795812507.0,1556540795812507.0,0
6,10382904,36,29,7286.0,8194.0,521.0,0.0,202.38888888888889,207.62607567833888,1448.0,0.0,282.55172413793105,358.0523291969343,1490.9123690250824,6.260290955208678,162232.875,727962.3419480951,5003198.0,4.0,5379706.0,153705.88571428572,520615.0220678351,2877475.0,68.0,10379220.0,370686.4285714286,1085801.7902219614,5008660.0,5.0,0,0,0,0,1168,944,3.467238067500192,2.793052887708487,0.0,1448.0,234.54545454545453,284.40254146966686,80884.80559440561,1,4,0,36,63,0,0,0,0.0,238.15384615384616,202.38888888888889,282.55172413793105,0,0,0,7740,19,6351,0,112,0,126,29200,302,18,32,5379706.0,0.0,5379706.0,5379706.0,778270400227241.0,1100640548119310.4,1556540795451284.0,5003198.0,0
6,7998906,8,7,696.0,374.0,348.0,0.0,87.0,161.09269736042395,187.0,0.0,53.42857142857142,91.24665682068786,133.76829281404233,1.8752564413183503,571350.4285714285,1496642.485340319,4994864.0,176.0,3004042.0,429148.85714285716,1114419.8838952682,2956410.0,4064.0,7994162.0,1332360.3333333335,2156025.372032126,5003199.0,337.0,0,0,0,0,272,240,1.0001367687031202,0.8751196726152302,0.0,348.0,66.87500000000001,126.64642382107228,16039.316666666668,1,4,0,4,13,0,0,0,0.0,71.33333333333333,87.0,53.42857142857143,0,0,0,1070,4,53122,0,46,0,24,29200,235,2,32,0.0,0.0,0.0,0.0,1556540797835299.0,0.0,1556540797835299.0,1556540797835299.0,0
6,11568232,42,39,6276.0,26736.0,436.0,0.0,149.42857142857147,193.5729701521345,1448.0,0.0,685.5384615384615,651.1451388921167,2853.677208410067,7.00193426272917,144602.9,646940.1939064864,4985226.0,2.0,6583006.0,160561.12195121948,469854.40817295713,1879031.0,2.0,11563041.0,304290.55263157893,925940.7965104844,4992281.0,3.0,0,0,0,0,1360,1264,3.630632580674385,3.371301682054786,0.0,1448.0,402.5853658536586,540.0518025271533,291655.94941282744,1,4,0,32,79,0,0,0,0.0,407.5555555555555,149.42857142857142,685.5384615384615,0,0,0,6602,9,101374,0,77,0,330,29200,294,16,32,0.0,0.0,0.0,0.0,1556540795803019.0,0.0,1556540795803019.0,1556540795803019.0,0
6,14668766,276,1111,21870.0,1536626.0,454.0,0.0,79.2391304347826,154.76464498059104,1448.0,0.0,1383.1017101710174,274.36281218267254,106245.88325970976,94.55464760975805,10583.525252525247,159815.2182132492,4991163.0,1.0,9677603.0,35191.28363636364,193779.52184766703,2549373.0,2.0,14665106.0,13211.80720720721,180343.22996205773,4998056.0,2.0,0,0,0,0,8848,35568,18.8154886375582,75.73915897219985,0.0,1448.0,1122.8357348703194,580.4120745763507,336878.17631402327,1,4,0,127,1385,0,0,0,4.0,1123.645277577505,79.23913043478261,1383.1017101710172,0,0,0,519498,388,264273,0,15,0,1107,29200,470,58,32,0.0,0.0,0.0,0.0,1556540795812513.0,0.0,1556540795812513.0,1556540795812513.0,0
6,119682437,636,638,1484.0,369270.0,526.0,0.0,2.333333333333333,29.85743905070673,1448.0,0.0,578.7931034482755,411.30627129472015,3097.8145941329717,10.644836719025033,94016.05420267087,223653.6709265413,993129.0,2.0,119682437.0,188476.27874015746,292003.2391889005,1000399.0,2.0,119663398.0,187854.6279434852,293202.6205934116,1001108.0,2.0,0,0,0,0,20440,20432,5.314062914678116,5.330773804346915,0.0,1448.0,290.7874509803915,410.0895558270688,168173.44379844252,0,4,0,628,1272,0,0,0,1.0,291.0156985871272,2.333333333333333,578.7931034482757,0,0,0,123584,212,3151,0,1,0,289,29200,235,14,32,0.0,0.0,0.0,0.0,1556540797840062.0,0.0,1556540797840062.0,1556540797840062.0,0
