Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,99579124,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020084530970567692,99579124.0,0.0,99579124.0,99579124.0,99579124.0,99579124.0,0.0,99579124.0,99579124.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.020084530970567692,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778088442123413.0,1100383086750536.0,1556176784667702.0,99579124.0,0
0,87140608,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022951412044313484,87140608.0,0.0,87140608.0,87140608.0,87140608.0,87140608.0,0.0,87140608.0,87140608.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.022951412044313484,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778089611024818.5,1100384757417474.8,1556179134909029.0,87140608.0,0
0,29988120,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06669307712520825,29988120.0,0.0,29988120.0,29988120.0,29988120.0,29988120.0,0.0,29988120.0,29988120.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.06669307712520825,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778089711530095.0,1100384980379223.6,1556179393072070.0,29988120.0,0
0,65648562,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03046525223202909,65648562.0,0.0,65648562.0,65648562.0,65648562.0,65648562.0,0.0,65648562.0,65648562.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.03046525223202909,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778091820033386.0,1100387911821693.2,1556183574418210.0,65648562.0,0
6,1994,4,4,954.0,2370.0,733.0,0.0,238.5,345.7364121215274,1460.0,0.0,592.5,720.0636545935829,1667001.0030090269,4012.036108324975,284.8571428571429,418.94845688200064,1220.0,15.0,657.0,219.0,104.05767631462852,321.0,113.0,1770.0,590.0,604.3798474469512,1220.0,15.0,0,0,0,0,92,92,2006.0180541624875,2006.0180541624875,0.0,1460.0,369.33333333333326,538.3035853493826,289770.75,1,2,0,3,7,0,0,0,1.0,415.5,238.5,592.5,0,0,0,3324,4,2292413,0,119,0,296,8192,8212,2,20,0.0,0.0,0.0,0.0,1556540495062129.0,0.0,1556540495062129.0,1556540495062129.0,0
6,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16425,0,0,20,0.0,0.0,0.0,0.0,1556540495064203.0,0.0,1556540495064203.0,1556540495064203.0,0
6,505,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5940.59405940594,252.5,354.2604973744604,503.0,2.0,0.0,0.0,0.0,0.0,0.0,503.0,503.0,0.0,503.0,503.0,0,0,0,0,20,40,1980.19801980198,3960.39603960396,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,1026,0,20,0.0,0.0,0.0,0.0,1556540497859056.0,0.0,1556540497859056.0,1556540497859056.0,0
6,818,1,2,986.0,0.0,986.0,986.0,986.0,0.0,0.0,0.0,0.0,0.0,1205378.9731051344,3667.481662591687,409.0,395.9797974644666,689.0,129.0,0.0,0.0,0.0,0.0,0.0,689.0,689.0,0.0,689.0,689.0,1,0,0,0,20,52,1222.4938875305622,2444.9877750611245,0.0,986.0,493.0,569.267365420971,324065.33333333326,2,0,0,1,3,0,0,0,2.0,657.3333333333334,986.0,0.0,0,0,0,0,0,0,0,328,0,0,237,1026,0,20,0.0,0.0,0.0,0.0,1556540498386217.0,0.0,1556540498386217.0,1556540498386217.0,0
6,270,1,2,986.0,0.0,986.0,986.0,986.0,0.0,0.0,0.0,0.0,0.0,3651851.8518518517,11111.111111111111,135.0,188.09040379562165,268.0,2.0,0.0,0.0,0.0,0.0,0.0,268.0,268.0,0.0,268.0,268.0,1,0,0,0,20,52,3703.7037037037044,7407.407407407407,0.0,986.0,493.0,569.267365420971,324065.33333333326,2,0,0,1,3,0,0,0,2.0,657.3333333333334,986.0,0.0,0,0,0,0,0,0,0,328,0,0,237,1026,0,20,0.0,0.0,0.0,0.0,1556540503031543.0,0.0,1556540503031543.0,1556540503031543.0,0
6,2978,4,4,954.0,2370.0,733.0,0.0,238.5,345.7364121215274,1460.0,0.0,592.5,720.0636545935829,1116185.3593015443,2686.3666890530562,425.4285714285714,784.1481274059677,2046.0,3.0,2076.0,692.0,1192.5170858314775,2069.0,3.0,932.0,310.66666666666663,490.50212367871904,877.0,21.0,0,0,0,0,92,92,1343.1833445265281,1343.1833445265281,0.0,1460.0,369.33333333333326,538.3035853493826,289770.75,1,2,0,3,7,0,0,0,1.0,415.5,238.5,592.5,0,0,0,3324,4,3672928,0,119,0,296,8192,8212,2,20,0.0,0.0,0.0,0.0,1556540554999448.0,0.0,1556540554999448.0,1556540554999448.0,0
